14853,2020-01-01 00:22:42.0000000,2020-01,Books,Male,53,93,2,186
16006,2020-01-01 00:34:38.0000000,2020-01,Electronics,Female,37,125,1,125
14097,2020-01-01 00:51:33.0000000,2020-01,Clothing,Male,70,293,1,293
11668,2020-01-01 01:07:45.0000000,2020-01,Electronics,Male,60,369,1,369
8735,2020-01-01 01:38:01.0000000,2020-01,Home,Female,39,109,3,327
16571,2020-01-01 01:53:38.0000000,2020-01,Home,Female,70,282,3,846
9146,2020-01-01 01:59:05.0000000,2020-01,Clothing,Male,28,411,5,2055
8514,2020-01-01 02:02:01.0000000,2020-01,Books,Female,38,172,1,172
2513,2020-01-01 02:11:02.0000000,2020-01,Home,Female,66,340,5,1700
3420,2020-01-01 02:29:41.0000000,2020-01,Electronics,Female,68,493,2,986
15539,2020-01-01 02:30:09.0000000,2020-01,Clothing,Male,51,464,1,464
16100,2020-01-01 02:34:21.0000000,2020-01,Electronics,Female,52,159,3,477
6679,2020-01-01 02:38:37.0000000,2020-01,Books,Male,60,134,1,134
4142,2020-01-01 02:43:23.0000000,2020-01,Books,Female,55,351,4,1404
8291,2020-01-01 02:55:59.0000000,2020-01,Electronics,Female,20,45,1,45
9676,2020-01-01 03:04:58.0000000,2020-01,Electronics,Female,30,488,2,976
10914,2020-01-01 03:19:56.0000000,2020-01,Books,Female,48,420,4,1680
18115,2020-01-01 03:50:29.0000000,2020-01,Electronics,Male,41,317,5,1585
5936,2020-01-01 03:53:31.0000000,2020-01,Clothing,Female,47,483,2,966
17316,2020-01-01 03:56:52.0000000,2020-01,Books,Male,24,128,4,512
17702,2020-01-01 04:12:25.0000000,2020-01,Clothing,Female,43,52,1,52
12907,2020-01-01 04:13:21.0000000,2020-01,Electronics,Female,32,206,4,824
8257,2020-01-01 04:13:42.0000000,2020-01,Books,Female,65,435,5,2175
1856,2020-01-01 04:33:31.0000000,2020-01,Clothing,Male,53,138,3,414
8654,2020-01-01 04:51:00.0000000,2020-01,Clothing,Female,63,406,2,812
16672,2020-01-01 05:04:40.0000000,2020-01,Books,Male,30,17,2,34
9312,2020-01-01 05:47:56.0000000,2020-01,Books,Female,27,451,2,902
5096,2020-01-01 06:01:21.0000000,2020-01,Home,Female,48,173,4,692
18601,2020-01-01 06:13:41.0000000,2020-01,Home,Male,40,381,3,1143
3752,2020-01-01 06:21:34.0000000,2020-01,Books,Female,18,156,4,624
5910,2020-01-01 06:29:37.0000000,2020-01,Clothing,Female,33,296,4,1184
7685,2020-01-01 06:42:11.0000000,2020-01,Electronics,Female,47,390,4,1560
1573,2020-01-01 07:28:55.0000000,2020-01,Home,Female,22,412,1,412
18235,2020-01-01 07:57:02.0000000,2020-01,Electronics,Female,53,156,2,312
3295,2020-01-01 08:24:34.0000000,2020-01,Books,Male,47,247,3,741
11265,2020-01-01 08:41:30.0000000,2020-01,Clothing,Female,25,51,1,51
19770,2020-01-01 09:10:51.0000000,2020-01,Electronics,Female,34,266,3,798
2576,2020-01-01 09:14:20.0000000,2020-01,Electronics,Female,66,355,5,1775
15913,2020-01-01 09:30:39.0000000,2020-01,Books,Male,43,164,3,492
17657,2020-01-01 09:42:47.0000000,2020-01,Clothing,Male,49,436,4,1744
15834,2020-01-01 09:43:25.0000000,2020-01,Home,Male,69,385,1,385
16270,2020-01-01 10:01:29.0000000,2020-01,Books,Female,34,362,4,1448
17359,2020-01-01 10:06:30.0000000,2020-01,Books,Male,40,375,2,750
